CustomerID;CompanyName;ContactName;ContactTitle;Address;City;Region;PostalCode;Country;Phone;Fax
NASCE;Nascetur Ltd;Ora W. Cohen;Lorem ipsum dolor;185-4814 Morbi Av.;Częstochowa;SL;40366;Senegal;(494) 521-9739;(898) 692-2444
FRING;Fringilla Porttitor Vulputate Limited;Allistair H. Poole;Lorem ipsum dolor;Ap #239-9980 Mauris St.;Wrocław;DS;22371-592;Chad;(815) 439-9784;(150) 709-6809
MAURI;Mauris Institute;Ora Z. Hughes;Lorem ipsum dolor;P.O. Box 677, 3225 Orci. Rd.;Cork;M;3971;Tajikistan;(153) 929-5198;(187) 471-4005
ANTEB;Ante Bibendum Industries;Dexter Campos;Lorem ipsum dolor;Ap #572-2080 Nam Road;Landelies;Henegouwen;7466;Tajikistan;(824) 809-0565;(698) 830-8890
SITAM;Sit Amet Consectetuer LLC;Whilemina Powell;Lorem ipsum;189-1618 Nibh Rd.;Bursa;Bursa;51202;Sudan;(817) 790-6289;(137) 357-6520
ETMAG;Et Magnis Foundation;Erin Y. Rice;Lorem;2261 Orci. Road;Kontich;Antwerpen;16651-175;Andorra;(504) 427-8988;(435) 156-0027
SENEC;Senectus LLC;Fulton Solomon;Lorem;P.O. Box 437, 7652 Egestas. St.;Overland Park;KS;2248;Cameroon;(501) 935-8398;(280) 930-6440
ETULT;Et Ultrices Posuere LLP;Katell L. Macdonald;Lorem ipsum;P.O. Box 935, 3796 Gravida Avenue;Talcahuano;VII;31302;Somalia;(716) 214-7796;(587) 136-3304
NULLA;Nullam Suscipit LLC;Adrian Z. Dillard;Lorem;P.O. Box 980, 6647 Cras Street;Vienna;Wie;5285;Niger;(182) 260-7824;(911) 841-4501
ORNAR;Ornare Tortor At Industries;Nathaniel Bishop;Lorem ipsum;Ap #243-5728 Non Rd.;Ulloa (Barrial);H;43460-961;India;(X25) X21-8387;(X25) X86-8916
ALIQU;Aliquet LLP;Hadassah Palmer;Lorem;2602 Donec Avenue;FlŽnu;HE;1523TU;Uzbekistan;(574) 310-9370;(372) 488-1586
PEDEA;Pede Ac Urna Corp.;Lucian Hunter;Lorem ipsum dolor;P.O. Box 857, 771 Et St.;Tarragona;CA;95713;Chile;(196) 743-3793;(889) 751-6832
TINCI;Tincidunt Nibh Limited;Aurelia Curry;Lorem;P.O. Box 207, 1894 Vulputate Rd.;Naarden;Noord Holland;62-750;Brunei;(811) 787-5775;(325) 343-7738
CRASI;Cras Inc.;Elijah Gray;Lorem;P.O. Box 411, 5769 Et Ave;Sint-Amandsberg;OV;602213;British Indian Ocean Territory;(614) 770-4585;(376) 280-8788
ORCIC;Orci Corp.;Noelle F. Marsh;Lorem ipsum;P.O. Box 527, 1965 Luctus Ave;Frederick;Maryland;44646;Timor-Leste;(974) 763-9052;(665) 660-7419
