EmployeeID;LastName;FirstName;Title;TitleOfCourtesy;BirthDate;HireDate;Address;City;Region;PostalCode;Country;HomePhone;Extension;Photo;Notes;ReportsTo;PhotoPath;Salary
NULL;Fry;Josephine;metus.;vulputate ullamcorper;1968-02-07;1992-01-01;1773 Orci, Street;Licantén;VII;Y2S 8E6;Antarctica;(771) 810-8554;9084;NULL;molestie in, tempus eu, ligula. Aenean euismod mauris eu;NULL;Phasellus;8067
NULL;Stanley;Hayes;enim, sit amet;enim mi;1960-01-08;1997-02-12;3797 Orci Rd.;Newcastle;New South Wales;75090-843;French Polynesia;(956) 629-6720;6544;NULL;placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante,;NULL;luctus;9557
NULL;Bates;Lacota;a;blandit viverra. Donec;1970-01-15;1995-03-30;595-2595 Aliquet St.;Valéncia;Comunitat Valenciana;09844;Burkina Faso;(534) 843-1319;5672;NULL;venenatis vel, faucibus id, libero. Donec consectetuer;NULL;at pretium;6009
NULL;Calderon;Price;aliquam;aliquam;1974-04-29;1996-08-16;686-6884 Hendrerit Ave;Lidköping;O;5176BJ;Greece;(159) 993-9716;7844;NULL;ridiculus mus. Proin vel arcu eu odio;NULL;porttitor;3810
NULL;Richard;Walker;consequat purus.;id, erat. Etiam;1969-04-27;1993-03-08;Ap #306-5375 Sed Rd.;San Miguel;Metropolitana de Santiago;Y2E 1W8;Virgin Islands, British;(382) 294-0637;3629;NULL;Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque;NULL;Maecenas ornare;4658
NULL;Sharpe;Courtney;aliquet lobortis,;urna;1958-09-11;1995-01-07;P.O. Box 689, 8217 In Rd.;Bromley;Kent;41204;El Salvador;(575) 982-8110;9072;NULL;Ut tincidunt vehicula risus. Nulla eget metus eu erat;NULL;erat neque non quam. Pellentesque;9100
NULL;Terry;Edan;fermentum metus.;fermentum;1971-01-16;1999-03-23;Ap #283-8467 Posuere Street;Flint;MI;7135IM;Monaco;(919) 980-0039;7898;NULL;et ipsum cursus vestibulum. Mauris magna. Duis;NULL;Integer mollis. Integer tincidunt aliquam;5589
NULL;Rush;Uta;ridiculus mus.;Donec sollicitudin adipiscing;1976-04-23;1994-02-08;975 Dignissim Ave;Cabano;Quebec;J8E 9T7;Dominican Republic;(972) 904-0178;7873;NULL;ipsum dolor sit amet, consectetuer adipiscing;NULL;est. Nunc laoreet;6786
NULL;Albert;Adena;vel;In ornare;1970-01-29;1995-10-28;959-8578 Quis Rd.;Sokoto;SO;10516;Bulgaria;(888) 689-3034;1285;NULL;Nullam velit dui, semper et, lacinia vitae, sodales;NULL;Proin nisl sem, consequat;8895
NULL;Glenn;Barrett;urna convallis;ornare. In;1952-06-03;1998-08-09;Ap #230-7096 Aliquet. St.;Sankt Johann im Pongau;Sbg;8743;Congo, the Democratic Republic of the;(858) 983-9064;4170;NULL;fringilla. Donec feugiat metus sit amet ante. Vivamus;NULL;enim, gravida;3603
NULL;Taylor;Cora;ligula. Nullam enim.;Maecenas;1951-08-07;1993-05-24;6529 Ipsum. Ave;Galway;C;85128;Cambodia;(421) 348-8500;1594;NULL;sem ut cursus luctus, ipsum leo;NULL;Nam ac nulla. In tincidunt;4390
NULL;Jenkins;Cole;urna suscipit;rutrum. Fusce;1950-05-28;1990-04-24;773-919 Fusce Rd.;Huelva;AN;24720;Turkmenistan;(832) 325-8259;4053;NULL;dictum placerat, augue. Sed molestie. Sed id risus quis diam;NULL;Cras eu tellus;4295
NULL;Workman;Flynn;massa. Vestibulum;ut,;1968-01-08;1998-04-27;4266 Cras St.;Boston;Massachusetts;63934;Sri Lanka;(779) 521-2001;2255;NULL;enim. Mauris quis turpis vitae;NULL;Lorem ipsum dolor;8901
NULL;Bush;Salvador;amet,;metus;1975-01-13;1998-02-03;3229 Vel, Rd.;Porto Alegre;Rio Grande do Sul;8526MX;Philippines;(501) 588-4432;9873;NULL;ut cursus luctus, ipsum leo;NULL;aliquet, metus urna;3695
NULL;Clark;Macy;non,;Fusce;1978-01-14;1997-03-19;979-4941 In, Avenue;Slough;BK;39757-680;Falkland Islands;(160) 547-8976;8024;NULL;inceptos hymenaeos. Mauris ut quam vel sapien imperdiet;NULL;arcu. Curabitur ut;3510
NULL;Salas;Melanie;penatibus et;Fusce;1978-02-10;1998-11-28;311-9385 A Street;Chesapeake;Virginia;40176;Morocco;(700) 412-2220;4084;NULL;ligula elit, pretium et, rutrum non, hendrerit id, ante.;NULL;elementum sem,;5077
NULL;Schultz;Phelan;consectetuer mauris id;nisl. Nulla eu;1958-10-26;1993-12-10;P.O. Box 265, 6303 Ultricies St.;Dublin;L;819479;Gabon;(125) 861-7900;7285;NULL;ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus.;NULL;mi lacinia;6942
NULL;Lynn;Serina;gravida. Praesent;sociis natoque;1975-10-25;1991-10-05;9250 Lorem St.;Radom;MA;05874;Mexico;(350) 127-5291;9084;NULL;ut quam vel sapien imperdiet ornare.;NULL;"cubilia Curae; Phasellus ornare.";3506
NULL;Marshall;Stephanie;sapien imperdiet ornare.;Fusce dolor quam,;1952-09-30;1998-02-19;798-8082 Amet Av.;Dubbo;NSW;70412;Ireland;(654) 262-7116;5188;NULL;feugiat. Sed nec metus facilisis lorem tristique aliquet.;NULL;quam vel sapien imperdiet ornare.;4482
NULL;Schultz;Neil;ipsum dolor sit;pede ac;1972-03-15;1999-01-07;552-2576 Donec St.;Vienna;Wie;77846;Brunei;(583) 773-4664;1423;NULL;amet, dapibus id, blandit at, nisi. Cum;NULL;Vestibulum ante;4084
NULL;Farrell;August;est;sem;1966-12-12;1991-03-12;P.O. Box 293, 6590 Ut Street;Fort Worth;Texas;8786;Zambia;(206) 338-7604;7420;NULL;porttitor interdum. Sed auctor odio a purus. Duis elementum, dui;NULL;dui, semper;8615
NULL;Morin;Melanie;felis eget varius;non dui nec;1975-11-10;1994-06-22;116-8327 Morbi Rd.;East Linton;East Lothian;919590;Rwanda;(687) 165-4611;1447;NULL;In mi pede, nonummy ut, molestie in, tempus eu,;NULL;imperdiet non, vestibulum nec, euismod;8045
NULL;Dunn;Sebastian;erat vitae;mauris a nunc.;1954-10-19;1994-02-17;Ap #145-8086 Porttitor Street;Bridgeport;CT;85-783;Israel;(563) 888-7353;3590;NULL;In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum;NULL;mauris;3530
NULL;Miles;Zephr;sodales;venenatis a, magna.;1974-02-10;1991-06-02;Ap #552-2685 Gravida Road;Berlin;BE;2818;Israel;(496) 846-1430;8214;NULL;tortor at risus. Nunc ac;NULL;nulla ante,;6569
NULL;Tran;Leslie;porta elit, a;suscipit, est ac;1958-02-14;1994-04-06;Ap #849-3456 Montes, Ave;Alloa;Clackmannanshire;4719;Cocos (Keeling) Islands;(667) 453-1994;6727;NULL;non, feugiat nec, diam. Duis;NULL;a;3006
NULL;Ware;Bert;enim.;sit amet diam;1978-06-03;1997-01-24;241-1177 Dolor Avenue;Patos;Paraíba;58859-443;Virgin Islands, British;(526) 415-6707;9255;NULL;Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam;NULL;Fusce;9830
NULL;Reid;Stewart;Suspendisse;Morbi;1960-08-28;1993-01-17;9707 Cras Street;Märsta;AB;2270;Australia;(866) 886-1721;6740;NULL;Proin vel arcu eu odio tristique pharetra.;NULL;felis, adipiscing fringilla,;3896
NULL;Hensley;Thaddeus;magnis;ac facilisis facilisis,;1960-03-05;1991-07-17;884-2212 Tincidunt Ave;Madrid;Madrid;3690;Netherlands;(568) 806-5824;2441;NULL;ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat.;NULL;nulla magna,;9406
NULL;Nguyen;Nerea;purus, in molestie;Morbi;1956-09-23;1995-01-23;2233 Lectus Road;Cumnock;AY;7635;Tonga;(122) 534-3762;7763;NULL;dolor, tempus non, lacinia at, iaculis quis,;NULL;ut odio;6875
